title_year,movie_title,budget,gross,imdb_score,num_critics,duration
1981,Chariots of Fire,5500000,58800000,7.2,90,125
1982,Gandhi,22000000,52767889,8.1,95,240
1984,Amadeus,18000000,51600000,8.3,134,180
1985,Out of Africa,31000000,87100000,7.2,66,161
1986,Platoon,6000000,137963328,8.1,120,120
1987,The Last Emperor,23000000,43984230,7.8,75,219
1988,Rain Man,25000000,172825435,8,100,133
1989,Driving Miss Daisy,7500000,106593296,7.4,61,99
1990,Dances with Wolves,22000000,184208848,8,92,236
1991,The Silence of the Lambs,19000000,130727000,8.6,185,138
1992,Unforgiven,14400000,101157447,8.3,131,131
1993,Schindler's List,22000000,96067179,8.9,174,185
1994,Forrest Gump,55000000,329691196,8.8,149,142
1995,Braveheart,72000000,75600000,8.4,132,178
1996,The English Patient,27000000,78651430,7.4,116,162
1997,Titanic,200000000,658672302,7.7,315,194
1998,Shakespeare in Love,25000000,100241322,7.2,134,123
1999,American Beauty,15000000,130058047,8.4,176,122
2000,Gladiator,103000000,187670866,8.5,265,171
2001,A Beautiful Mind,58000000,170708996,8.2,205,135
2002,Chicago,45000000,170684505,7.2,223,113
2003,The Lord of the Rings: The Return of the King,94000000,377019252,8.9,328,192
2004,Million Dollar Baby,30000000,100422786,8.1,268,132
2005,Crash,6500000,54557348,7.9,287,115
2006,The Departed,90000000,132373442,8.5,352,151
2007,No Country for Old Men,25000000,74273505,8.1,488,122
2008,Slumdog Millionaire,15000000,141319928,8.0,422,120
2009,The Hurt Locker,15000000,17017811,7.6,388,131
2010,The King's Speech,15000000,138795342,8,479,118
2011,The Artist,15000000,44667095,8,576,100
2012,Argo,44500000,136019448,7.7,656,130
2013,12 Years a Slave,20000000,56667870,8.1,597,134
2014,Birdman,18000000,42335698,7.8,588,119
2015,Spotlight,20000000,44988180,8.1,474,128
