title_year,movie_title,budget,gross,imdb_score,num_critics,duration
1994,Forrest Gump,55000000,329691196,8.8,149,142
1995,Batman Forever,100000000,184031112,5.4,144,121
1996,Independence Day,75000000,306124059,6.9,185,154
1997,Titanic,200000000,658672302,7.7,315,194
1998,Saving Private Ryan,70000000,216119491,8.6,219,169
1999,Star Wars: Episode I - The Phantom Menace,115000000,474544677,6.5,320,136
2000,How the Grinch Stole Christmas,123000000,260031035,6,175,110
2001,Harry Potter and the Sorcerer's Stone,125000000,317557891,7.5,258,159
2002,Spider-Man,139000000,403706375,7.3,291,121
2003,The Lord of the Rings: The Return of the King,94000000,377019252,8.9,328,192
2004,Spider-Man 2,200000000,373377893,7.3,300,135
2005,Star Wars: Episode III - Revenge of the Sith,113000000,380262555,7.6,359,140
2006,Pirates of the Caribbean: Dead Man's Chest,225000000,423032628,7.3,313,151
2007,Spider-Man 3,258000000,336530303,6.2,392,156
2008,The Dark Knight,185000000,533316061,9,645,152
2009,Avatar,237000000,760505847,7.9,723,178
2010,Alice in Wonderland,200000000,334185206,6.5,451,108
2011,Transformers: Dark of the Moon,195000000,352358779,6.3,428,154
2012,The Avengers,220000000,623279547,8.1,703,173
2013,The Hunger Games: Catching Fire,130000000,424645577,7.6,502,146
2014,American Sniper,58800000,350123553,7.3,490,133
2015,Star Wars: The Force Awakens,245000000,936662225,8.0,865,136
